,date,sales,diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
17,2015-07-01,8814,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0,692.0
18,2015-08-01,7997,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0,-762.0
19,2015-09-01,7101,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0,-860.0
20,2015-10-01,7116,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0,-404.0
21,2015-11-01,7149,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0,494.0
22,2015-12-01,5083,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0,-1969.0
23,2016-01-01,5166,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0,-326.0
24,2016-02-01,5250,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0,202.0
25,2016-03-01,6677,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0,1404.0
26,2016-04-01,7619,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0,796.0
27,2016-05-01,8525,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0,991.0
28,2016-06-01,8759,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0,-56.0
29,2016-07-01,9557,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0,844.0
30,2016-08-01,8723,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0,-817.0
31,2016-09-01,7706,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0,-896.0
32,2016-10-01,7434,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0,15.0
33,2016-11-01,7713,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0,33.0
34,2016-12-01,5748,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0,-2066.0
35,2017-01-01,5270,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0,83.0
36,2017-02-01,5300,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0,84.0
37,2017-03-01,7154,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0,1427.0
38,2017-04-01,8078,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0,942.0
39,2017-05-01,8693,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0,906.0
40,2017-06-01,9116,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0,234.0
41,2017-07-01,10001,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0,798.0
42,2017-08-01,8747,-1254.0,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0,-834.0
43,2017-09-01,7967,-780.0,-1254.0,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0,-1017.0
44,2017-10-01,7653,-314.0,-780.0,-1254.0,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0,-272.0
45,2017-11-01,7829,176.0,-314.0,-780.0,-1254.0,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0,279.0
46,2017-12-01,5938,-1891.0,176.0,-314.0,-780.0,-1254.0,885.0,423.0,615.0,924.0,1854.0,30.0,-478.0,-1965.0
